id,name,country_id,language_id
1,"Afghanistan",1,39
2,"Albania",2,39
3,"Algeria",3,39
4,"Andorra",4,39
5,"Angola",5,39
6,"Antigua and Barbuda",6,39
7,"Argentina",7,39
8,"Armenia",8,39
9,"Australia",9,39
10,"Austria",10,39
11,"Azerbaijan",11,39
12,"Bahamas",12,39
13,"Bahrain",13,39
14,"Bangladesh",14,39
15,"Barbados",15,39
16,"Belarus",16,39
17,"Belgium",17,39
18,"Belize",18,39
19,"Benin",19,39
20,"Bhutan",20,39
21,"Bolivia",21,39
22,"Bosnia and Herzegovina",22,39
23,"Botswana",23,39
24,"Brazil",24,39
25,"Brunei Darussalam",25,39
26,"Bulgaria",26,39
27,"Burkina Faso",27,39
28,"Burundi",28,39
30,"Cabo Verde",30,39
31,"Cambodia",31,39
32,"Cameroon",32,39
33,"Canada",33,39
34,"Central African Republic",34,39
35,"Chad",35,39
36,"Chile",36,39
37,"China",37,39
38,"Colombia",38,39
39,"Comoros",39,39
40,"Congo",40,39
41,"Costa Rica",41,39
42,"Croatia",42,39
43,"Cuba",43,39
44,"Cyprus",44,39
45,"Czech Republic",45,39
46,"Democratic People's Republic of Korea (North ",46,39
47,"Democratic Republic of the Cong",47,39
48,"Denmark",48,39
49,"Djibouti",49,39
50,"Dominica",50,39
51,"Dominican Republic",51,39
52,"Ecuador",52,39
53,"Egypt",53,39
54,"El Salvador",54,39
55,"Equatorial Guinea",55,39
56,"Eritrea",56,39
57,"Estonia",57,39
58,"Ethiopia",58,39
59,"Fiji",59,39
60,"Finland",60,39
61,"France",61,39
62,"Gabon",62,39
63,"Gambia",63,39
64,"Georgia",64,39
65,"Germany",65,39
66,"Ghana",66,39
67,"Greece",67,39
68,"Grenada",68,39
69,"Guatemala",69,39
70,"Guinea",70,39
71,"Guinea-Bissau",71,39
72,"Guyana",72,39
73,"Haiti",73,39
74,"Honduras",74,39
75,"Hungary",75,39
76,"Iceland",76,39
77,"India",77,39
78,"Indonesia",78,39
79,"Iran",79,39
80,"Iraq",80,39
81,"Ireland",81,39
82,"Israel",82,39
83,"Italy",83,39
84,"Jamaica",84,39
85,"Japan",85,39
86,"Jordan",86,39
87,"Kazakhstan",87,39
88,"Kenya",88,39
89,"Kiribati",89,39
90,"Kuwait",90,39
91,"Kyrgyzstan",91,39
92,"Lao People's Democratic Republic (Laos)",92,39
93,"Latvia",93,39
94,"Lebanon",94,39
95,"Lesotho",95,39
96,"Liberia",96,39
97,"Libya",97,39
98,"Liechtenstein",98,39
99,"Lithuania",99,39
100,"Luxembourg",100,39
101,"Macedonia",101,39
102,"Madagascar",102,39
103,"Malawi",103,39
104,"Malaysia",104,39
105,"Maldives",105,39
106,"Mali",106,39
107,"Malta",107,39
108,"Marshall Islands",108,39
109,"Mauritania",109,39
110,"Mauritius",110,39
111,"Mexico",111,39
112,"Micronesia (Federated States of)",112,39
113,"Monaco",113,39
114,"Mongolia",114,39
115,"Montenegro",115,39
116,"Morocco",116,39
117,"Mozambique",117,39
118,"Myanmar",118,39
119,"Namibia",119,39
120,"Nauru",120,39
121,"Nepal",121,39
122,"Netherlands",122,39
123,"New Zealand",123,39
124,"Nicaragua",124,39
125,"Niger",125,39
126,"Nigeria",126,39
127,"Norway",127,39
128,"Oman",128,39
129,"Pakistan",129,39
130,"Palau",130,39
131,"Panama",131,39
132,"Papua New Guinea",132,39
133,"Paraguay",133,39
134,"Peru",134,39
135,"Philippines",135,39
136,"Poland",136,39
137,"Portugal",137,39
138,"Qatar",138,39
139,"Republic of Korea (South Korea)",139,39
140,"Republic of Moldova",140,39
141,"Romania",141,39
142,"Russian Federation",142,39
143,"Rwanda",143,39
144,"Saint Kitts and Nevis",144,39
145,"Saint Lucia",145,39
146,"Saint Vincent and the Grenadines",146,39
147,"Samoa",147,39
148,"San Marino",148,39
149,"Sao Tome and Principe",149,39
150,"Saudi Arabia",150,39
151,"Senegal",151,39
152,"Serbia",152,39
153,"Seychelles",153,39
154,"Sierra Leone",154,39
155,"Singapore",155,39
156,"Slovakia",156,39
157,"Slovenia",157,39
158,"Solomon Islands",158,39
159,"Somalia",159,39
160,"South Africa",160,39
161,"South Sudan",161,39
162,"Spain",162,39
163,"Sri Lanka",163,39
164,"Sudan",164,39
165,"Suriname",165,39
166,"Swaziland",166,39
167,"Sweden",167,39
168,"Switzerland",168,39
169,"Syrian Arab Republic",169,39
170,"Tajikistan",170,39
171,"Thailand",171,39
172,"Timor-Leste",172,39
173,"Togo",173,39
174,"Tonga",174,39
175,"Trinidad and Tobago",175,39
176,"Tunisia",176,39
177,"Turkey",177,39
178,"Turkmenistan",178,39
179,"Tuvalu",179,39
180,"Uganda",180,39
181,"Ukraine",181,39
182,"United Arab Emirates",182,39
183,"United Kingdom",183,39
184,"United Republic of Tanzania",184,39
185,"United States of America",185,39
186,"Uruguay",186,39
187,"Uzbekistan",187,39
188,"Vanuatu",188,39
189,"Venezuela",189,39
190,"Vietnam",190,39
191,"Yemen",191,39
192,"Zambia",192,39
193,"Zimbabwe",193,39
