id,name,template,reference,icon_path
1,3gpdash-qoe-report+xml,application/3gpdash-qoe-report+xml,[_3GPP][Ozgur_Oyman],NULL
2,3gpp-ims+xml,application/3gpp-ims+xml,[John_M_Meredith],NULL
3,A2L,application/A2L,[ASAM][Thomas_Thomsen],NULL
4,activemessage,application/activemessage,[Ehud_Shapiro],NULL
5,alto-costmap+json,application/alto-costmap+json,[RFC7285],NULL
6,alto-costmapfilter+json,application/alto-costmapfilter+json,[RFC7285],NULL
7,alto-directory+json,application/alto-directory+json,[RFC7285],NULL
8,alto-endpointprop+json,application/alto-endpointprop+json,[RFC7285],NULL
9,alto-endpointpropparams+json,application/alto-endpointpropparams+json,[RFC7285],NULL
10,alto-endpointcost+json,application/alto-endpointcost+json,[RFC7285],NULL
11,alto-endpointcostparams+json,application/alto-endpointcostparams+json,[RFC7285],NULL
12,alto-error+json,application/alto-error+json,[RFC7285],NULL
13,alto-networkmapfilter+json,application/alto-networkmapfilter+json,[RFC7285],NULL
14,alto-networkmap+json,application/alto-networkmap+json,[RFC7285],NULL
15,AML,application/AML,[ASAM][Thomas_Thomsen],NULL
16,andrew-inset,application/andrew-inset,[Nathaniel_Borenstein],NULL
17,applefile,application/applefile,[Patrik_Faltstrom],NULL
18,ATF,application/ATF,[ASAM][Thomas_Thomsen],NULL
19,ATFX,application/ATFX,[ASAM][Thomas_Thomsen],NULL
20,atom+xml,application/atom+xml,[RFC4287][RFC5023],NULL
21,atomcat+xml,application/atomcat+xml,[RFC5023],NULL
22,atomdeleted+xml,application/atomdeleted+xml,[RFC6721],NULL
23,atomicmail,application/atomicmail,[Nathaniel_Borenstein],NULL
24,atomsvc+xml,application/atomsvc+xml,[RFC5023],NULL
25,ATXML,application/ATXML,[ASAM][Thomas_Thomsen],NULL
26,auth-policy+xml,application/auth-policy+xml,[RFC4745],NULL
27,bacnet-xdd+zip,application/bacnet-xdd+zip,[ASHRAE][Dave_Robin],NULL
28,batch-SMTP,application/batch-SMTP,[RFC2442],NULL
29,beep+xml,application/beep+xml,[RFC3080],NULL
30,calendar+json,application/calendar+json,[RFC7265],NULL
31,calendar+xml,application/calendar+xml,[RFC6321],NULL
32,call-completion,application/call-completion,[RFC6910],NULL
33,CALS-1840,application/CALS-1840,[RFC1895],NULL
34,cbor,application/cbor,[RFC7049],NULL
35,ccmp+xml,application/ccmp+xml,[RFC6503],NULL
36,ccxml+xml,application/ccxml+xml,[RFC4267],NULL
37,CDFX+XML,application/CDFX+XML,[ASAM][Thomas_Thomsen],NULL
38,cdmi-capability,application/cdmi-capability,[RFC6208],NULL
39,cdmi-container,application/cdmi-container,[RFC6208],NULL
40,cdmi-domain,application/cdmi-domain,[RFC6208],NULL
41,cdmi-object,application/cdmi-object,[RFC6208],NULL
42,cdmi-queue,application/cdmi-queue,[RFC6208],NULL
43,cdni,application/cdni,[RFC7736],NULL
44,CEA,application/CEA,[ASAM][Thomas_Thomsen],NULL
45,cea-2018+xml,application/cea-2018+xml,[Gottfried_Zimmermann],NULL
46,cellml+xml,application/cellml+xml,[RFC4708],NULL
47,cfw,application/cfw,[RFC6230],NULL
48,clue_info+xml,application/clue_info+xml,[RFC-ietf-clue-data-model-schema-17],NULL
49,cms,application/cms,[RFC7193],NULL
50,cnrp+xml,application/cnrp+xml,[RFC3367],NULL
51,coap-group+json,application/coap-group+json,[RFC7390],NULL
52,commonground,application/commonground,[David_Glazer],NULL
53,conference-info+xml,application/conference-info+xml,[RFC4575],NULL
54,cpl+xml,application/cpl+xml,[RFC3880],NULL
55,csrattrs,application/csrattrs,[RFC7030],NULL
56,csta+xml,application/csta+xml,[Ecma_International_Helpdesk],NULL
57,CSTAdata+xml,application/CSTAdata+xml,[Ecma_International_Helpdesk],NULL
58,csvm+json,application/csvm+json,[W3C][Ivan_Herman],NULL
